ID czaswypelnienia czasnauka procentzajec czasaktywnosci srednia motywacja zaangazowanie FTP IQ ekstrawersja ugodowosc sumiennosc neurotyzm otwartoscnadoswiadczenia plec0 plec studia wiek edukacjarodzicow0 edukacjarodzicow wsparciefinansowe0 wsparciefinansowe dochodrozporzadzalny0 dochodrozporzadzalny trybstudiaw0 trybstudiaw kierunek humanistyczne inzynieryjnotechniczne medyczneinaukiozdrowiu unknown scisleiprzyrodnicze miejscowosc zamieszkanie0 zamieszkanie czasnauka0 czasaktywnosci0 biblio0 biblio l_zaangazowanie sq_zaangazowanie sq_FTP sq_IQ sq_sumiennosc l_neurotyzm l_zaangazowanie_boxcox l_l_zaangazowanie_boxcox FTP_trybstudiaw IQ_trybstudiaw ekstrawersja_trybstudiaw sumiennosc_trybstudiaw edukacjarodzicow_trybstudiaw wsparciefinansowe_trybstudiaw FTP_edukacjarodzicow IQ_edukacjarodzicow ekstrawersja_edukacjarodzicow sumiennosc_edukacjarodzicow wsparcie_edukacjarodzicow trybstudiaw_edukacjarodzicow mask sq_sq_sumiennosc sq_wsparciefinansowe czydochod czydochod2 uhat1
12 409.000000683591 3 95 0.5 4.4 27 72.5 16 2 6 4 4 4 3 "Mężczyzna" 1 "1 rok" 20 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "2000-2999" 2500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 150 tys. do 500 tys." "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "2-3 godziny dziennie" "1-3 godziny tygodniowo" "Raz w miesiącu" 2 4.28358656186063 5256.25 256 4 16 1.38629436111989 15.0293863659264 2.71000737564775 16 2 6 4 1 5 16 2 6 4 5 1 1 256 25 0 2500 3.37287569656658
13 729.000000050292 1 76 3 3.56 29 46.3333333333333 14 3 4 5 4 7 6 "Osoba niebinarna" NA "0 lat (jestem w trakcie pierwszego roku)" 19 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "<1000" 500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "2-3 godziny dziennie" "Kilka razy w miesiącu" 3 3.83586164446258 2146.77777777778 196 9 16 1.94591014905531 11.6137185711081 2.45218703479025 14 3 4 4 0 5 0 0 0 0 0 0 1 256 25 500 0 NA
15 638.999997242354 1 80 0.5 4.71 31 48.3333333333333 15 2 5 7 5 7 9 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "1000-1999" 1500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "1-3 godziny tygodniowo" "Rzadziej lub wcale" 0 3.87812145375246 2336.11111111111 225 4 25 1.94591014905531 11.9044357430761 2.4769110821819 15 2 5 5 1 5 15 2 5 5 5 1 1 625 25 1500 0 -0.46809992532517
16 850.999997137115 6 80 0.5 4.06 33 90 18 5 9 4 6 2 5 "Mężczyzna" 1 "3 lata" 22 "Jeden z rodziców/opiekunów prawnych ma wykształcenie średnie a drugi podstawowe" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "1000-1999" 1500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;Humanistyczne;" 1 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam z dalszą rodziną (np. babcią, dziadkiem, ciocią, wujkiem);" 0 "4 godziny dziennie lub więcej" "1-3 godziny tygodniowo" "Kilka razy w tygodniu" 4 4.49980967033027 8100 324 25 36 0.693147180559945 16.9736659610103 2.83166308190352 18 5 9 6 0 3 0 0 0 0 0 0 1 1296 9 0 1500 2.29602532607862
17 421.000000974163 0 60 6 4.17 31 30 12 2 6 5 5 8 5 "Kobieta" 0 "4 lata" 23 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 50 tys. do 150 tys." "Mieszkam sam;" 0 "mniej niż 1 godzinę tygodniowo" "4 godziny dziennie lub więcej" "Tylko podczas sesji" 1 3.40119738166216 900 144 4 25 2.07944154167984 8.95445115010332 2.19215074386367 12 2 6 5 0 3 0 0 0 0 0 0 1 625 9 0 4000 -1.56979143574452
18 1047.00000397861 3 100 0 4.28 31 75 16 4 3 2 9 6 3 "Mężczyzna" 1 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam sam;" 0 "2-3 godziny dziennie" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 4.31748811353631 5625 256 16 81 1.79175946922806 15.3205080756888 2.72919232797198 16 4 3 9 1 5 16 4 3 9 5 1 1 6561 25 0 4000 0.0335444101010527
19 400.999999442138 0 90 3 3.5 21 45 8 1 2 1 2 5 5 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "w ogóle nie przygotowuję się do zajęć" "2-3 godziny dziennie" "Rzadziej lub wcale" 0 3.80666248977032 2025 64 1 4 1.6094379124341 11.4164078649987 2.43505160702395 8 1 2 2 1 4 8 1 2 2 4 1 1 16 16 500 0 2.04060515947131
20 335.000007273629 0 77 6 4.36 29 38.5 15 2 4 7 3 1 8 "Mężczyzna" 1 "3 lata" 22 "Wykształcenie wyższe" 1 "W 100% utrzymuję się sam" 1 "2000-2999" 2500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;Humanistyczne;" 1 0 0 1 0 "Miasto od 50 tys. do 150 tys." "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "mniej niż 1 godzinę tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.65065824129374 1482.25 225 4 9 0 10.4096736459909 2.34273553208655 15 2 4 3 1 1 15 2 4 3 1 1 1 81 1 0 2500 -1.29466881454439
21 847.000005003065 1 100 6 4.5 34 58.3333333333333 17 3 5 6 8 5 8 "Kobieta" 0 "3 lata" 22 "Wykształcenie średnie" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "4 godziny dziennie lub więcej" "Raz w miesiącu" 2 4.0661736852554 3402.77777777778 289 9 64 1.6094379124341 13.2752523165195 2.5859015738415 17 3 5 8 0 4 0 0 0 0 0 0 1 4096 16 2500 0 -0.362751115702167
22 799.000001326203 1 95 6 5 32 55.8333333333333 18 3 5 7 5 9 7 "Mężczyzna" 1 "3 lata" 22 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "4 godziny dziennie lub więcej" "Kilka razy w miesiącu" 3 4.02237106259701 3117.36111111111 324 9 25 2.19722457733622 12.9443411809733 2.56065871820217 18 3 5 5 1 4 18 3 5 5 4 1 1 625 16 4000 0 0.501828802314781
23 563.999992911704 0 80 6 4 31 40 15 5 8 7 9 5 5 "Kobieta" 0 "6 lat i więcej" 25 "Wykształcenie średnie" 0 "W 100% utrzymuję się sam" 1 "5000-7999" 6500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam sam;" 0 "mniej niż 1 godzinę tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.68887945411394 1600 225 25 81 1.6094379124341 10.6491106406735 2.36547638075047 15 5 8 9 0 1 0 0 0 0 0 0 1 6561 1 0 6500 -1.53804698013748
24 661.00000301376 1 70 6 4.5 32 43.3333333333333 12 5 2 1 3 7 4 "Mężczyzna" 1 "3 lata" 22 "Wykształcenie wyższe" 1 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "5000-7999" 6500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 150 tys. do 500 tys." "Mieszkam sam;" 0 "4-7 godzin tygodniowo" "4 godziny dziennie lub więcej" "Tylko podczas sesji" 1 3.76892216178747 1877.77777777778 144 25 9 1.94591014905531 11.1656117720877 2.41283867752926 12 5 2 3 1 3 12 5 2 3 3 1 1 81 9 0 6500 -1.13605692823468
25 734.999996423721 3 95 6 4.13 29 72.5 18 4 6 5 5 7 6 "Kobieta" 0 "2 lata" 21 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 150 tys. do 500 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "2-3 godziny dziennie" "4 godziny dziennie lub więcej" "Raz w miesiącu" 2 4.28358656186063 5256.25 324 16 25 1.94591014905531 15.0293863659264 2.71000737564775 18 4 6 5 0 3 0 0 0 0 0 0 1 625 9 0 4000 1.80536916892114
26 997.999997553416 1 100 6 4.85 29 58.3333333333333 16 2 7 5 8 8 5 "Kobieta" 0 "3 lata" 22 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "5000-7999" 6500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam w akademiku;" 0 "4-7 godzin tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 4.0661736852554 3402.77777777778 256 4 64 2.07944154167984 13.2752523165195 2.5859015738415 16 2 7 8 0 3 0 0 0 0 0 0 1 4096 9 0 6500 0.928856938576358
27 1794.0000006929 1 70 1 4.6 34 43.3333333333333 15 3 7 4 3 1 5 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "W 100% utrzymuję się sam" 1 "2000-2999" 2500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Informatyka;" 0 1 0 0 0 "Miasto od 150 tys. do 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 3.76892216178747 1877.77777777778 225 9 9 0 11.1656117720877 2.41283867752926 0 0 0 0 0 0 15 3 7 3 1 0 1 81 1 2500 0 3.23427993803192
28 542.999998060987 0.5 60 6 4.4 25 34.1666666666667 10 2 8 6 3 4 6 "Kobieta" 0 "3 lata" 22 "Wykształcenie wyższe" 1 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam ze swoją rodziną (współmałżonkiem, partnerem, dziećmi);" 0 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.53125050991035 1167.36111111111 100 4 9 1.38629436111989 9.69045194450012 2.27114106511434 10 2 8 3 1 3 10 2 8 3 3 1 1 81 9 0 4000 1.98706339417847
29 858.999997121282 0.5 25 3 4.58 32 16.6666666666667 12 2 7 3 6 6 4 "Mężczyzna" 1 "1 rok" 20 "Wykształcenie wyższe" 1 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "5000-7999" 6500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam w akademiku;" 0 "1-3 godziny tygodniowo" "2-3 godziny dziennie" "Rzadziej lub wcale" 0 2.81341071676004 277.777777777778 144 4 36 1.79175946922806 6.16496580927726 1.8188825906605 12 2 7 6 1 2 12 2 7 6 2 1 1 1296 4 0 6500 -3.682610356906
30 1825.99999497179 1 95 0.5 4.5 23 55.8333333333333 12 4 5 3 7 7 5 "Kobieta" 0 "2 lata" 21 "Wykształcenie średnie" 0 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "1000-1999" 1500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "1-3 godziny tygodniowo" "Rzadziej lub wcale" 0 4.02237106259701 3117.36111111111 144 16 49 1.94591014905531 12.9443411809733 2.56065871820217 12 4 5 7 0 5 0 0 0 0 0 0 1 2401 25 1500 0 -0.547955421686043
31 2205.99999893457 0.5 90 0.5 4.84 28 49.1666666666667 18 3 3 4 8 4 5 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "1-3 godziny tygodniowo" "Kilka razy w miesiącu" 3 3.89521588711176 2417.36111111111 324 9 64 1.38629436111989 12.0237893119751 2.48688713000633 18 3 3 8 1 4 18 3 3 8 4 1 1 4096 16 500 0 -1.69343357702936
32 1613.00000175834 1 95 0 4.64 28 55.8333333333333 12 2 3 5 4 5 8 "Mężczyzna" 1 "3 lata" 22 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "4-7 godzin tygodniowo" "mniej niż 1 godzinę tygodniowo" "Raz w miesiącu" 2 4.02237106259701 3117.36111111111 144 4 16 1.6094379124341 12.9443411809733 2.56065871820217 12 2 3 4 0 4 0 0 0 0 0 0 1 256 16 0 2500 0.545401126134909
33 373.0000060983 0.5 50 3 3.8 34 29.1666666666667 12 2 4 4 3 6 7 "Osoba niebinarna" NA "2 lata" 21 "Wykształcenie wyższe" 1 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "5000-7999" 6500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "2-3 godziny dziennie" "Rzadziej lub wcale" 0 3.37302650469546 850.694444444444 144 4 9 1.79175946922806 8.80123449734643 2.17489199543468 0 0 0 0 0 0 12 2 4 3 2 0 1 81 4 6500 0 NA
34 1040.99999880418 0.5 100 0 4.8 34 54.1666666666667 14 4 4 2 2 2 1 "Mężczyzna" 1 "4 lata" 23 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "2000-2999" 2500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "1-3 godziny tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.99206571310168 2934.02777777778 196 16 4 0.693147180559945 12.7196014438797 2.54314422439276 14 4 4 2 0 5 0 0 0 0 0 0 1 16 25 0 2500 0.120196185131427
35 1138.00000073388 1 100 1 4.7 31 58.3333333333333 16 4 5 5 7 7 7 "Kobieta" 0 "3 lata" 22 "Wykształcenie średnie" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "<1000" 500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "4-7 godzin tygodniowo" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 4.0661736852554 3402.77777777778 256 16 49 1.94591014905531 13.2752523165195 2.5859015738415 16 4 5 7 0 3 0 0 0 0 0 0 1 2401 9 0 500 -0.14870156386641
36 554.00000566151 1 92 0 4.18 35 54.3333333333333 14 5 6 6 4 8 4 "Mężczyzna" 1 "2 lata" 21 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "<1000" 500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto do 50 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.99513791213865 2952.11111111111 196 25 16 2.07944154167984 12.742229591664 2.54492164202702 0 0 0 0 0 0 0 0 0 0 0 0 1 256 4 500 0 1.96924289386949
37 941.999993892387 3 70 1 4.7 28 60 15 4 7 3 5 4 6 "Kobieta" 0 "2 lata" 21 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "<1000" 500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "2-3 godziny dziennie" "4-7 godzin tygodniowo" "Tylko podczas sesji" 1 4.0943445622221 3600 225 16 25 1.38629436111989 13.4919333848297 2.6020919798043 15 4 7 5 1 5 15 4 7 5 5 1 1 625 25 500 0 1.72166535914619
